,title,price,year,link,instrument,location,age
0,1970s left-handed 5-string banjo,375,1970.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1970s-left-handed/7818227548.html,banjo,Fry's Spring,55.0
1,"new casematix 16"" hard travel case",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-new-casematix-16-hard/7822515852.html,missing,Charlottesville,
2,esp ltd m-1000 ebony,750,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-ltd-1000-ebony/7824260151.html,missing,Culpeper,
3,gibson les paul faded (2018),900,2018.0,https://charlottesville.craigslist.org/msg/d/charlottesville-gibson-les-paul-faded/7822280640.html,missing,Charlottesville,7.0
4,hand pan hang drum   symphonic steel,2500,,https://charlottesville.craigslist.org/msg/d/charlottesville-hand-pan-hang-drum/7824165197.html,drum,JPA Cville 22903,
5,"esp edwards alexi laiho ""geeny""",1400,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-edwards-alexi-laiho-geeny/7822167359.html,missing,Culpeper,
6,guitar maintenance accessories assortment,30,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-maintenance/7823569141.html,guitar,Charlottesville,
7,ampeg ba-108 bass amp (20 watts),75,,https://charlottesville.craigslist.org/msg/d/culpeper-ampeg-ba-108-bass-amp-20-watts/7824134382.html,bass,Culpeper,
8,"slide guitar package (instructionals, slides, capos)",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-slide-guitar-package/7820592995.html,guitar,Charlottesville,
9,martin d35 sunburst with fishman pickup,2800,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-d35-sunburst/7818717919.html,missing,Charlottesville,
10,"levy's, dunlop, and generic adjustable guitar straps",25,,https://charlottesville.craigslist.org/msg/d/charlottesville-levys-dunlop-and/7818440714.html,guitar,Charlottesville,
11,westcreek racer gt,200,,https://charlottesville.craigslist.org/msg/d/concord-westcreek-racer-gt/7819779494.html,missing,Unknown,
12,1990 washburn d28 n/s acoustic,350,1990.0,https://charlottesville.craigslist.org/msg/d/concord-1990-washburn-d28-s-acoustic/7818158744.html,missing,Unknown,35.0
13,yamaha motif 8,300,,https://charlottesville.craigslist.org/msg/d/charlottesville-yamaha-motif/7824058076.html,missing,Charlottesville,
14,"eminence ragin cajun 10"" guitar speaker 75w 8ohms",80,,https://charlottesville.craigslist.org/msg/d/glen-allen-eminence-ragin-cajun-10/7824042791.html,guitar,I-295 Exit 43C north RVA,
15,-the little big guitar scale handbook-,21,,https://charlottesville.craigslist.org/msg/d/dallas-the-little-big-guitar-scale/7819615139.html,guitar,Unknown,
16,yamaha jx40 guitar amp mij,300,,https://charlottesville.craigslist.org/msg/d/glen-allen-yamaha-jx40-guitar-amp-mij/7823917866.html,guitar,RVA I-295 Exit 43C,
17,want - guitar body / bass neck / broken or unwanted stuff,1,,https://charlottesville.craigslist.org/msg/d/charlottesville-want-guitar-body-bass/7823905243.html,guitar,Unknown,
18,used drum equipment jackpot,5000,,https://charlottesville.craigslist.org/msg/d/charlottesville-used-drum-equipment/7823686218.html,drum,Charlottesville,
19,evh wolfgang standard,600,,https://charlottesville.craigslist.org/msg/d/charlottesville-evh-wolfgang-standard/7820759262.html,missing,Charlottesville,
20,dean edge q5 5 string bass,250,,https://charlottesville.craigslist.org/msg/d/palmyra-dean-edge-q5-string-bass/7823670306.html,bass,Lake Monticello,
21,"chibson bass & guitars for sale or trade ""not gibson's""",1,,https://charlottesville.craigslist.org/msg/d/palmyra-chibson-bass-guitars-for-sale/7823670088.html,bass,Lake Monticello,
22,hot rod deville 2x12,375,,https://charlottesville.craigslist.org/msg/d/palmyra-hot-rod-deville-2x12/7823666464.html,missing,Lake Monticello,
23,fender squier classic vibe 50's duo-sonic,300,,https://charlottesville.craigslist.org/msg/d/palmyra-fender-squier-classic-vibe-50s/7823666014.html,missing,Lake Monticello,
24,randall rt50h 50w tube head,400,,https://charlottesville.craigslist.org/msg/d/palmyra-randall-rt50h-50w-tube-head/7823665896.html,missing,Lake Monticello,
25,presonus audiobox usb audio interface,20,,https://charlottesville.craigslist.org/msg/d/palmyra-presonus-audiobox-usb-audio/7823665664.html,missing,Lake Monticello,
26,presonus firebox 24bit/96k firewire recording interface 2 channel inpu,20,,https://charlottesville.craigslist.org/msg/d/palmyra-presonus-firebox-24bit-96k/7823665551.html,missing,Lake Monticello,
27,(100) 45 rpm records,30,,https://charlottesville.craigslist.org/msg/d/troy-rpm-records/7819013356.html,missing,Louisa,
28,"vintage 22"" continental bass drum, good condition",35,,https://charlottesville.craigslist.org/msg/d/crozet-vintage-22-continental-bass-drum/7821447465.html,bass,"crozet, cville",
29,"peavey audition 110 guitar amp, works great, made in usa",80,,https://charlottesville.craigslist.org/msg/d/crozet-peavey-audition-110-guitar-amp/7823610255.html,guitar,"crozet, cville",
30,"heavy duty amp stand or monitor stand, vgc",40,,https://charlottesville.craigslist.org/msg/d/crozet-heavy-duty-amp-stand-or-monitor/7823608572.html,missing,"crozet, cville",
31,"cleanout, 3 items, work but need power cords",50,,https://charlottesville.craigslist.org/msg/d/crozet-cleanout-items-work-but-need/7823606800.html,missing,"crozet, cville",
32,bobelock luxurious professional suspension viola case,150,,https://charlottesville.craigslist.org/msg/d/scottsville-bobelock-luxurious/7819030704.html,missing,Lake Monticello or Scottsville,
33,senal xu-1648 xlr-to-usb adapte,30,,https://charlottesville.craigslist.org/msg/d/palmyra-senal-xu-1648-xlr-to-usb-adapte/7819030895.html,missing,Lake Monticello or Scottsville,
34,5 string fender banjo/hardcase,1200,,https://charlottesville.craigslist.org/msg/d/troy-string-fender-banjo-hardcase/7815690360.html,missing,Unknown,
35,fender fm 25r 1x10 amp spring reverb,160,,https://charlottesville.craigslist.org/msg/d/glen-allen-fender-fm-25r-1x10-amp/7819063716.html,missing,RVA I-295 Exit 43C,
36,blues driver,25,,https://charlottesville.craigslist.org/msg/d/madison-blues-driver/7823335618.html,missing,Madison,
37,presonus audiobox usb 96 anniversary ed.,35,,https://charlottesville.craigslist.org/msg/d/orange-presonus-audiobox-usb-96/7823170555.html,missing,Orange,
38,1982 ibanez cs9 stereo chorus with leslie mod,175,1982.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1982-ibanez-cs9-stereo/7823095984.html,missing,"Charlottesville, VA",43.0
39,restored 1977 v2 electro harmonix foot-controlled bad stone phaser,650,1977.0,https://charlottesville.craigslist.org/msg/d/charlottesville-restored-1977-v2/7823095929.html,missing,"Charlottesville, VA",48.0
40,"1972 maestro sireko tape echo machine, restored tape cart, echoplex",650,1972.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1972-maestro-sireko/7823097051.html,missing,"Charlottesville, VA",53.0
41,"1975 foxx fuzz & wa pedal, tone machine octave fuzz",400,1975.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1975-foxx-fuzz-wa-pedal/7823097008.html,missing,"Charlottesville, VA",50.0
42,fishman aura ast acoustic imaging processor,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-fishman-aura-ast/7823096414.html,missing,"Charlottesville, VA",
43,1976 v2 electro harmonix small stone phase shifter,155,1976.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1976-v2-electro/7823096316.html,missing,"Charlottesville, VA",49.0
44,early 70's univox u-1095 super-fuzz,850,,https://charlottesville.craigslist.org/msg/d/charlottesville-early-70s-univox-1095/7823096278.html,missing,"Charlottesville, VA",
45,"1978 mxr mx-102 dyna comp, 9v jack",125,1978.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1978-mxr-mx-102-dyna/7823096242.html,missing,"Charlottesville, VA",47.0
46,super rare 1981 v6 electric mistress flanger,575,1981.0,https://charlottesville.craigslist.org/msg/d/charlottesville-super-rare-1981-v6/7823096023.html,missing,"Charlottesville, VA",44.0
47,guitar pedal repair and restoration,0,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-pedal-repair-and/7823095887.html,guitar,"Charlottesville, VA",
48,k&m bassoon / bass clarinet stand,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-km-bassoon-bass/7822962463.html,bass,Charlottesville/Ivy,
49,ibanez sa260 flametop,275,,https://charlottesville.craigslist.org/msg/d/charlottesville-ibanez-sa260-flametop/7822879315.html,missing,Charlottesville,
50,jesus will someone buy that martin?,2800,,https://charlottesville.craigslist.org/msg/d/scottsville-jesus-will-someone-buy-that/7822869478.html,missing,Scottsville,
51,2007 gibson sg faded-usa duncan pups-new harness,825,2007.0,https://charlottesville.craigslist.org/msg/d/charlottesville-2007-gibson-sg-faded/7822685641.html,missing,Charlottesville,18.0
52,epiphone's newest inspired by gibson custom les paul custom,900,,https://charlottesville.craigslist.org/msg/d/staunton-epiphones-newest-inspired-by/7815126638.html,missing,"Staunton, VA",
53,skb ps-25 pedalboard with carrying case,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-skb-ps-25-pedalboard/7822119553.html,missing,Charlottesville,
54,taylor 614ce,1900,,https://charlottesville.craigslist.org/msg/d/madison-taylor-614ce/7822110489.html,missing,Madison,
55,vox ac15hw1x w/ alnico blue,1300,,https://charlottesville.craigslist.org/msg/d/crozet-vox-ac15hw1x-alnico-blue/7814949635.html,missing,Crozet,
56,looking for broken or unwanted musical instruments,1,,https://charlottesville.craigslist.org/msg/d/crozet-looking-for-broken-or-unwanted/7816908328.html,missing,"crozet, cville",
57,ios/usb microphone,75,,https://charlottesville.craigslist.org/msg/d/quinque-ios-usb-microphone/7821913337.html,missing,Ruckersville,
58,ludwig 14 x 10 - 6 ply b/o badge 70/80s white marine pearl tom,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-ludwig-14-ply-o-badge/7821690973.html,missing,Charlottesville,
59,used case for fender precision bass,50,,https://charlottesville.craigslist.org/msg/d/waynesboro-used-case-for-fender/7821630177.html,bass,Waynesboro,
60,jamman looper xt and sdrum percussion w jamsync - tons of fun with you,225,,https://charlottesville.craigslist.org/msg/d/crozet-jamman-looper-xt-and-sdrum/7821590070.html,missing,Crozet,
61,blackstar id:core stereo100 guitar amp w ftswitch for built in looper,160,,https://charlottesville.craigslist.org/msg/d/crozet-blackstar-idcore-stereo100/7814612980.html,guitar,Crozet,
62,"drum hardware pieces, good condition",50,,https://charlottesville.craigslist.org/msg/d/drum-hardware-pieces-good-condition/7821447095.html,drum,"crozet, cville",
63,toca djembe,110,,https://charlottesville.craigslist.org/msg/d/crozet-toca-djembe/7821300494.html,missing,Crozet,
64,walrus audio fathom reverb pedal,165,,https://charlottesville.craigslist.org/msg/d/waynesboro-walrus-audio-fathom-reverb/7821221291.html,missing,Waynesboro,
65,peavey dm 118 subs (pair),1000,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-dm-118-subs-pair/7821113200.html,missing,Ruckersville,
66,peavey sp 115m floor monitors (4),600,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-sp-115m-floor-monitors/7821112939.html,missing,Ruckersville,
67,peavey cs 800x4 power amp,300,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-cs-800x4-power-amp/7821111949.html,missing,Ruckersville,
68,"fender ""70th anniversary esquire"" guitar w/case! minty, hang tags!",1695,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-70th-anniversary/7813357235.html,guitar,Charlottesville,
69,acoustic guitar,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-acoustic-guitar/7821004908.html,guitar,Charlottesville,
70,tonette musical instrument,5,,https://charlottesville.craigslist.org/msg/d/palmyra-tonette-musical-instrument/7820647914.html,missing,PALMYRA,
71,new kurt cobain jagstang,650,,https://charlottesville.craigslist.org/msg/d/charlottesville-new-kurt-cobain-jagstang/7820406327.html,missing,Charlottesville,
72,new small ukulele case,15,,https://charlottesville.craigslist.org/msg/d/palmyra-new-small-ukulele-case/7820358169.html,ukulele,Lake Monticello,
73,gator ukulele case,25,,https://charlottesville.craigslist.org/msg/d/palmyra-gator-ukulele-case/7820357498.html,ukulele,Lake Monticello,
74,kahuna ukulele case,20,,https://charlottesville.craigslist.org/msg/d/palmyra-kahuna-ukulele-case/7820355273.html,ukulele,Lake Monticello,
75,ukulele case pineapple design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-pineapple-design/7820351775.html,ukulele,Lake Monticello,
76,ukulele case with watermelon design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-with-watermelon/7820351257.html,ukulele,Lake Monticello,
77,maestro by gibson guitar,50,,https://charlottesville.craigslist.org/msg/d/charlottesville-maestro-by-gibson-guitar/7820265354.html,guitar,Charlottesville,
78,martin sigma dr2 guitar,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-sigma-dr2-guitar/7818406541.html,guitar,Charlottesville,
79,cymbals,200,,https://charlottesville.craigslist.org/msg/d/free-union-cymbals/7820197363.html,missing,Free Union,
80,yamaha claviniva electric piano,150,,https://charlottesville.craigslist.org/msg/d/charlottesville-yamaha-claviniva/7819920855.html,piano,Charlottesville,
81,taylor 214ce deluxe acousticelectric w/ hard case,950,,https://charlottesville.craigslist.org/msg/d/charlottesville-taylor-214ce-deluxe/7819452429.html,missing,Charlottesville,
82,original solo dallas schaffer replica pedal,299,,https://charlottesville.craigslist.org/msg/d/amherst-original-solo-dallas-schaffer/7819391995.html,missing,Amherst,
